resourceId,title,type,modality
R0034,Article on MAT04: Functions Intro,Article,Reading/Writing
R0035,Quiz on BIO02: Cell Structure,Quiz,Kinaesthetic
R0036,Simulation on CHM02: Atomic Structure,Simulation,Kinaesthetic
R0037,Quiz on PHY05: Heat and Temperature,Quiz,Kinaesthetic
R0038,Simulation on BIO03: Classification,Simulation,Kinaesthetic
R0039,Slideshow on MAT02: Sets,Slideshow,Visual
R0040,Simulation on MAT03: Equations,Simulation,Kinaesthetic
R0041,Slideshow on CHM03: Bonding Basics,Slideshow,Visual
R0042,Video on PHY01: Introduction to Physics,Video,Visual
R0043,Podcast on CHM05: Reactions Intro,Podcast,Audio
R0044,Video on PHY01: Introduction to Physics,Video,Visual
R0045,Podcast on BIO02: Cell Structure,Podcast,Audio
R0046,Quiz on MAT05: Triangles,Quiz,Kinaesthetic
R0047,Podcast on BIO04: Cell Division,Podcast,Audio
R0048,Video on PHY05: Heat and Temperature,Video,Visual
R0049,Podcast on PHY03: Force and Motion,Podcast,Audio
R0050,Article on CHM04: States of Matter,Article,Reading/Writing
R0051,Podcast on PHY03: Force and Motion,Podcast,Audio
R0052,Podcast on CHM04: States of Matter,Podcast,Audio
R0053,Podcast on BIO02: Cell Structure,Podcast,Audio
R0054,Podcast on PHY04: Energy,Podcast,Audio
R0055,Podcast on BIO03: Classification,Podcast,Audio
R0056,Slideshow on MAT01: Logic,Slideshow,Visual
R0057,Podcast on PHY05: Heat and Temperature,Podcast,Audio
R0058,Simulation on CHM05: Reactions Intro,Simulation,Kinaesthetic
R0059,Slideshow on BIO05: Genetics Intro,Slideshow,Visual
R0060,Podcast on CHM01: Intro to Chemistry,Podcast,Audio
R0061,Simulation on BIO05: Genetics Intro,Simulation,Kinaesthetic
R0062,Video on CHM04: States of Matter,Video,Visual
R0063,Quiz on PHY04: Energy,Quiz,Kinaesthetic
R0064,Quiz on CHM05: Reactions Intro,Quiz,Kinaesthetic
R0065,Simulation on MAT04: Functions Intro,Simulation,Kinaesthetic
R0066,Article on BIO03: Classification,Article,Reading/Writing
R0067,Simulation on BIO04: Cell Division,Simulation,Kinaesthetic
R0068,Article on BIO01: Biology and Living Things,Article,Reading/Writing
R0069,Slideshow on PHY03: Force and Motion,Slideshow,Visual
R0070,Quiz on CHM04: States of Matter,Quiz,Kinaesthetic
R0071,Video on BIO03: Classification,Video,Visual
R0072,Simulation on BIO01: Biology and Living Things,Simulation,Kinaesthetic
R0073,Podcast on MAT02: Sets,Podcast,Audio
R0074,Simulation on PHY05: Heat and Temperature,Simulation,Kinaesthetic
R0075,Quiz on PHY05: Heat and Temperature,Quiz,Kinaesthetic
R0076,Article on BIO02: Cell Structure,Article,Reading/Writing
R0077,Slideshow on BIO04: Cell Division,Slideshow,Visual
R0078,Quiz on CHM02: Atomic Structure,Quiz,Kinaesthetic
R0079,Article on PHY05: Heat and Temperature,Article,Reading/Writing
R0080,Video on MAT01: Logic,Video,Visual
R0081,Video on CHM03: Bonding Basics,Video,Visual
R0082,Article on CHM02: Atomic Structure,Article,Reading/Writing
R0083,Simulation on BIO01: Biology and Living Things,Simulation,Kinaesthetic
R0084,Video on CHM01: Intro to Chemistry,Video,Visual
R0085,Video on BIO05: Genetics Intro,Video,Visual
R0086,Simulation on PHY05: Heat and Temperature,Simulation,Kinaesthetic
R0087,Slideshow on BIO03: Classification,Slideshow,Visual
R0088,Quiz on CHM04: States of Matter,Quiz,Kinaesthetic
R0089,Article on PHY04: Energy,Article,Reading/Writing
R0090,Video on PHY03: Force and Motion,Video,Visual
R0091,Simulation on MAT03: Equations,Simulation,Kinaesthetic
R0092,Quiz on PHY01: Introduction to Physics,Quiz,Kinaesthetic
R0093,Podcast on MAT05: Triangles,Podcast,Audio
R0094,Video on CHM05: Reactions Intro,Video,Visual
R0095,Video on MAT02: Sets,Video,Visual
R0096,Podcast on PHY04: Energy,Podcast,Audio
R0097,Video on BIO02: Cell Structure,Video,Visual
R0098,Article on BIO04: Cell Division,Article,Reading/Writing
R0099,Article on PHY01: Introduction to Physics,Article,Reading/Writing
R0100,Video on BIO03: Classification,Video,Visual
R0101,Slideshow on CHM01: Intro to Chemistry,Slideshow,Visual
R0102,Quiz on BIO03: Classification,Quiz,Kinaesthetic
R0103,Podcast on MAT02: Sets,Podcast,Audio
R0104,Simulation on MAT02: Sets,Simulation,Kinaesthetic
R0105,Quiz on CHM01: Intro to Chemistry,Quiz,Kinaesthetic
R0106,Video on BIO03: Classification,Video,Visual
R0107,Article on CHM04: States of Matter,Article,Reading/Writing
R0108,Article on BIO01: Biology and Living Things,Article,Reading/Writing
R0109,Article on CHM04: States of Matter,Article,Reading/Writing
R0110,Video on CHM01: Intro to Chemistry,Video,Visual
R0111,Podcast on BIO02: Cell Structure,Podcast,Audio
R0112,Podcast on CHM04: States of Matter,Podcast,Audio
R0113,Article on BIO01: Biology and Living Things,Article,Reading/Writing
R0114,Quiz on CHM02: Atomic Structure,Quiz,Kinaesthetic
R0115,Article on CHM05: Reactions Intro,Article,Reading/Writing
R0116,Podcast on PHY02: Matter and Properties,Podcast,Audio
R0117,Video on PHY05: Heat and Temperature,Video,Visual
R0118,Podcast on MAT03: Equations,Podcast,Audio
R0119,Article on MAT03: Equations,Article,Reading/Writing
R0120,Podcast on PHY01: Introduction to Physics,Podcast,Audio
R0121,Slideshow on CHM04: States of Matter,Slideshow,Visual
R0122,Slideshow on MAT02: Sets,Slideshow,Visual
R0123,Video on MAT05: Triangles,Video,Visual
R0124,Quiz on PHY04: Energy,Quiz,Kinaesthetic
R0125,Video on CHM01: Intro to Chemistry,Video,Visual
R0126,Simulation on CHM01: Intro to Chemistry,Simulation,Kinaesthetic
R0127,Podcast on MAT03: Equations,Podcast,Audio
R0128,Podcast on BIO04: Cell Division,Podcast,Audio
R0129,Slideshow on CHM03: Bonding Basics,Slideshow,Visual
R0130,Simulation on CHM02: Atomic Structure,Simulation,Kinaesthetic
R0131,Simulation on PHY01: Introduction to Physics,Simulation,Kinaesthetic
R0132,Slideshow on MAT02: Sets,Slideshow,Visual
R0133,Article on PHY04: Energy,Article,Reading/Writing
R0134,Quiz on CHM01: Intro to Chemistry,Quiz,Kinaesthetic
R0135,Podcast on CHM02: Atomic Structure,Podcast,Audio
R0136,Article on MAT03: Equations,Article,Reading/Writing
R0137,Video on MAT01: Logic,Video,Visual
R0138,Podcast on PHY01: Introduction to Physics,Podcast,Audio
R0139,Simulation on BIO02: Cell Structure,Simulation,Kinaesthetic
R0140,Podcast on BIO03: Classification,Podcast,Audio
R0141,Podcast on CHM04: States of Matter,Podcast,Audio
R0142,Slideshow on CHM02: Atomic Structure,Slideshow,Visual
R0143,Video on MAT01: Logic,Video,Visual
R0144,Video on PHY03: Force and Motion,Video,Visual
R0145,Simulation on BIO01: Biology and Living Things,Simulation,Kinaesthetic
R0146,Video on BIO01: Biology and Living Things,Video,Visual
R0147,Podcast on PHY05: Heat and Temperature,Podcast,Audio
R0148,Article on MAT01: Logic,Article,Reading/Writing
R0149,Podcast on CHM05: Reactions Intro,Podcast,Audio
R0150,Slideshow on BIO05: Genetics Intro,Slideshow,Visual
