resourceId,topicId
R0242,MAT016
R0243,GEO030
R0244,GEO030
R0245,HIS021
R0246,LIT033
R0247,GEO029
R0248,LIT031
R0249,MAT017
R0250,MAT018
R0251,LIT032
R0252,MAT018
R0253,PHY005
R0254,MAT016
R0255,HIS022
R0256,LIT035
R0257,BIO009
R0258,CHM015
R0259,BIO010
R0260,PHY005
R0261,GEO027
R0262,LIT035
R0263,GEO027
R0264,CHM014
R0265,HIS025
R0266,HIS025
R0267,PHY001
R0268,MAT020
R0269,GEO027
R0270,LIT035
R0271,LIT032
R0272,MAT018
R0273,LIT032
R0274,HIS025
R0275,GEO026
R0276,GEO030
R0277,LIT035
R0278,GEO026
R0279,BIO006
R0280,BIO009
R0281,CHM012
R0282,MAT017
R0283,HIS021
R0284,GEO030
R0285,HIS022
R0286,MAT018
R0287,MAT017
R0288,LIT031
R0289,LIT035
R0290,HIS023
R0291,PHY005
R0292,PHY002
R0293,CHM013
R0294,BIO010
R0295,BIO009
R0296,BIO008
R0297,GEO030
R0298,HIS024
R0299,BIO008
R0300,MAT020
R0301,PHY002
R0302,HIS025
R0303,CHM013
R0304,MAT016
R0305,MAT020
R0306,PHY003
R0307,LIT035
R0308,HIS024
R0309,LIT033
R0310,PHY001
R0311,LIT032
R0312,GEO028
R0313,GEO030
R0314,GEO028
R0315,LIT034
R0316,LIT035
R0317,GEO030
R0318,MAT018
R0319,MAT016
R0320,MAT018
R0321,MAT016
R0322,HIS025
R0323,PHY002
R0324,HIS021
R0325,LIT032
R0326,HIS023
R0327,HIS022
R0328,MAT018
R0329,PHY001
R0330,CHM013
R0331,MAT016
R0332,LIT032
R0333,MAT016
R0334,LIT032
R0335,PHY002
R0336,MAT019
R0337,GEO026
R0338,MAT020
R0339,LIT031
R0340,LIT034
R0341,GEO028
R0342,HIS022
R0343,GEO030
R0344,MAT020
R0345,CHM015
R0346,CHM013
R0347,BIO008
R0348,CHM012
R0349,CHM014
R0350,MAT018
R0351,MAT019
R0352,CHM013
R0353,CHM015
R0354,CHM012
R0355,PHY001
R0356,BIO009
R0357,PHY003
R0358,MAT019
R0359,LIT032
R0360,PHY001
R0361,LIT031
R0362,GEO029
R0363,CHM012
R0364,MAT017
R0365,BIO008
R0366,GEO026
R0367,PHY005
R0368,BIO010
R0369,MAT020
R0370,MAT016
R0371,GEO027
R0372,LIT034
R0373,GEO029
R0374,MAT020
R0375,MAT020
R0376,BIO007
R0377,CHM014
R0378,BIO006
R0379,MAT016
R0380,PHY005
R0381,PHY001
R0382,GEO029
R0383,MAT019
R0384,CHM015
R0385,MAT019
R0386,PHY005
R0387,MAT017
R0388,GEO028
R0389,LIT035
R0390,BIO010
R0391,BIO010
R0392,PHY004
R0393,MAT020
R0394,GEO029
R0395,GEO030
R0396,GEO026
R0397,LIT033
R0398,LIT032
R0399,BIO006
R0400,GEO028
R0401,MAT017
R0402,BIO006
R0403,PHY002
R0404,PHY003
R0405,LIT031
R0406,GEO029
R0407,CHM012
R0408,LIT032
R0409,LIT031
R0410,GEO027
R0411,HIS021
R0412,CHM011
R0413,GEO027
R0414,MAT019
R0415,PHY003
R0416,BIO006
R0417,MAT017
R0418,BIO008
R0419,LIT033
R0420,LIT035
R0421,GEO027
R0422,CHM013
R0423,HIS024
R0424,GEO029
R0425,CHM014
R0426,BIO009
R0427,GEO029
R0428,BIO008
R0429,MAT016
R0430,MAT020
R0431,PHY001
R0432,GEO027
R0433,CHM015
R0434,GEO030
R0435,BIO010
R0436,MAT019
R0437,MAT018
R0438,LIT031
R0439,MAT016
R0440,BIO010
R0441,CHM013
R0442,BIO009
R0443,MAT018
R0444,HIS022
R0445,MAT018
R0446,MAT019
R0447,LIT032
R0448,GEO029
R0449,LIT031
R0450,HIS022
R0451,LIT035
R0452,GEO030
R0453,CHM013
R0454,HIS025
R0455,GEO027
R0456,HIS021
R0457,HIS025
R0458,BIO010
R0459,PHY003
R0460,LIT033
R0461,BIO007
R0462,BIO007
R0463,GEO030
R0464,BIO010
R0465,BIO010
R0466,LIT031
R0467,HIS022
R0468,BIO006
R0469,LIT035
R0470,HIS021
R0471,LIT035
R0472,PHY005
R0473,MAT019
R0474,BIO006
R0475,BIO007
R0476,GEO029
R0477,MAT020
R0478,PHY003
R0479,PHY004
R0480,HIS023
R0481,GEO028
R0482,MAT016
R0483,GEO027
R0484,CHM011
R0485,BIO006
R0486,MAT016
R0487,BIO010
R0488,GEO030
R0489,GEO030
R0490,PHY001
R0491,MAT019
R0492,CHM011
R0493,GEO029
R0494,MAT020
R0495,MAT017
R0496,MAT020
R0497,HIS025
R0498,BIO007
R0499,HIS025
R0500,MAT019
